facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
Refinery Building,Park,Domino Park,Operational,,40.714424,-73.967306,"{'type': 'Point', 'coordinates': [-73.967306, 40.714424]}",2,56,38,36,,,Year Round,6am-11pm,,
Maspeth Park,Park,NYC Parks,Operational,Yes,40.730900,-73.925400,"{'type': 'Point', 'coordinates': [-73.9254, 40.7309]}",3,66,34,53,,,Year Round,"8am-4pm, Open later seasonally",,
"Fort Hamilton Library, BPL",Library,BPL,Operational,Yes,40.616381,-74.031371,"{'type': 'Point', 'coordinates': [-74.031371, 40.616381]}",2,41,44,10,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/fort-hamilton'},
Rienzi Playground,Park,NYC Parks,Operational,No,40.887640,-73.858800,"{'type': 'Point', 'coordinates': [-73.8588, 40.88764]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Lopez Playground,Park,NYC Parks,Operational,,40.611270,-74.085000,"{'type': 'Point', 'coordinates': [-74.085, 40.61127]}",1,74,13,4,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Andrew Heiskell Braille and Talking Book Library, NYPL",Library,NYPL,Operational,No,40.740474,-73.993358,"{'type': 'Point', 'coordinates': [-73.993358, 40.740474]}",4,7,10,11,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/heiskell'},Changing Table in Children's room
Old Town Playground,Park,NYC Parks,Operational,Yes,40.595490,-74.081500,"{'type': 'Point', 'coordinates': [-74.0815, 40.59549]}",1,76,14,30,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
575 Fifth Avenue POPS,Privately Owned Public Space,575 Fifth Associates,Operational,Yes,40.756276,-73.978243,"{'type': 'Point', 'coordinates': [-73.978243, 40.756276]}",4,10,51,11,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,Everyday 7:00 am-12:00 am,,
Fort Greene Park Zone 3,Park,NYC Parks,Operational,Yes,40.692230,-73.974700,"{'type': 'Point', 'coordinates': [-73.9747, 40.69223]}",2,55,48,68,,,Year Round,"8am-4pm, Open later seasonally",,
Starlight Park Zone 1,Park,NYC Parks,Operational,,40.833733,-73.882888,"{'type': 'Point', 'coordinates': [-73.882888, 40.833733]}",5,26,43,58,,,Year Round,"8am-4pm, Open later seasonally",,
Clove Lakes Rink,Park,NYC Parks Concessionaire,Operational,No,40.615832,-74.107900,"{'type': 'Point', 'coordinates': [-74.1079, 40.615832]}",1,74,13,4,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"Friday 4:00-10:00pm, Saturday 12:00pm-10:00pm, Sunday 12:00pm-6:00pm",,
Mosholu Playground,Park,NYC Parks,Operational,Yes,40.872660,-73.882900,"{'type': 'Point', 'coordinates': [-73.8829, 40.87266]}",5,34,40,24,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
General Hart Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.748790,-73.897200,"{'type': 'Point', 'coordinates': [-73.8972, 40.74879]}",3,66,33,53,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Gertrude Ederle Recreation Center,Park,NYC Parks,Operational,Yes,40.771470,-73.988700,"{'type': 'Point', 'coordinates': [-73.9887, 40.77147]}",4,12,19,20,,,Year Round,"8am-4pm, Open later seasonally",,
"Great Kills Library, NYPL",Library,NYPL,Operational,Yes,40.552432,-74.151113,"{'type': 'Point', 'coordinates': [-74.151113, 40.552432]}",1,76,9,15,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 4:00 pm",{'url': 'https://www.nypl.org/locations/great-kills'},
"Sunset Park Library, BPL",Library,BPL,Operational,Yes,40.645920,-74.013631,"{'type': 'Point', 'coordinates': [-74.013631, 40.64592]}",2,45,7,9,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/sunset-park'},
De Witt Clinton Park,Park,NYC Parks,Operational,Yes,40.768210,-73.994600,"{'type': 'Point', 'coordinates': [-73.9946, 40.76821]}",4,10,10,12,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Arrochar Playground,Park,NYC Parks,Operational,Yes,40.597840,-74.071200,"{'type': 'Point', 'coordinates': [-74.0712, 40.59784]}",1,76,14,30,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
55 East 52nd Street POPS,Privately Owned Public Space,Park Avenue Plaza Owner LLC,Operational,No,40.759132,-73.973672,"{'type': 'Point', 'coordinates': [-73.973672, 40.759132]}",4,10,51,11,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,Everyday 8:00 am-10:00 pm,,
Potomac Playground,Park,NYC Parks,Operational,Yes,40.682050,-73.944200,"{'type': 'Point', 'coordinates': [-73.9442, 40.68205]}",2,51,49,69,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Cypress Hills Library, BPL",Library,BPL,Operational,Yes,40.672716,-73.874036,"{'type': 'Point', 'coordinates': [-73.874036, 40.672716]}",2,47,25,45,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/cypress-hills'},
Big Bush Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.740250,-73.902700,"{'type': 'Point', 'coordinates': [-73.9027, 40.74025]}",3,66,33,53,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Maspeth Library, QPL",Library,QPL,Operational,Yes,40.727004,-73.893106,"{'type': 'Point', 'coordinates': [-73.893106, 40.727004]}",3,62,34,54,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/maspeth'},
Nautilus Playground,Park,NYC Parks,Operational,Yes,40.571720,-73.995900,"{'type': 'Point', 'coordinates': [-73.9959, 40.57172]}",2,35,45,21,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Tilden Playground,Park,NYC Parks,Operational,Yes,40.647900,-73.931400,"{'type': 'Point', 'coordinates': [-73.9314, 40.6479]}",2,40,26,61,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Poppenhusen Library, QPL",Library,QPL,Operational,"""Yes, in women's restroom only""",40.786221,-73.846019,"{'type': 'Point', 'coordinates': [-73.846019, 40.786221]}",3,67,20,22,,Multi-Stall W/M Restrooms,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/poppenhusen'},"Yes, a key is needed to enter"
Aqueduct Walk Zone 2,Park,NYC Parks,Operational,Yes,40.858410,-73.908000,"{'type': 'Point', 'coordinates': [-73.908, 40.85841]}",5,29,29,6,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Lemon Creek Park Marina,Park,NYC Parks Concessionaire,Operational,No,40.515281,-74.201150,"{'type': 'Point', 'coordinates': [-74.20115, 40.515281]}",1,77,9,15,Not Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,9:00am-5:00pm,,
Electric Playground,Park,NYC Parks,Operational,No,40.735770,-73.805400,"{'type': 'Point', 'coordinates': [-73.8054, 40.73577]}",3,65,24,25,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Allerton Playground,Park,NYC Parks,Operational,Yes,40.865670,-73.850500,"{'type': 'Point', 'coordinates': [-73.8505, 40.86567]}",5,32,12,59,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Gorman Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.761940,-73.884200,"{'type': 'Point', 'coordinates': [-73.8842, 40.76194]}",3,73,4,65,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
River Run Playground,Park,NYC Parks,Operational,Yes,40.787330,-73.982100,"{'type': 'Point', 'coordinates': [-73.9821, 40.78733]}",4,12,19,20,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Poor Richard's Playground,Park,NYC Parks,Operational,Yes,40.792990,-73.943100,"{'type': 'Point', 'coordinates': [-73.9431, 40.79299]}",4,14,35,7,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Playground For All Children,Park,NYC Parks,Operational,Yes,40.848470,-73.825300,"{'type': 'Point', 'coordinates': [-73.8253, 40.84847]}",5,28,12,44,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Far Rockaway Library, QPL",Library,QPL,Operational,"""Yes, in women's restroom only""",40.604322,-73.752481,"{'type': 'Point', 'coordinates': [-73.752481, 40.604322]}",3,59,47,51,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/far-rockaway'},
Sunset Park Playground,Park,NYC Parks,Operational,Yes,40.647680,-74.005000,"{'type': 'Point', 'coordinates': [-74.005, 40.64768]}",2,45,7,9,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Hoover - Manton Playgrounds,Park,NYC Parks,Operational,Yes,40.710520,-73.820100,"{'type': 'Point', 'coordinates': [-73.8201, 40.71052]}",3,65,24,25,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Joseph Austin Playground,Park,NYC Parks,Operational,No,40.715690,-73.801200,"{'type': 'Point', 'coordinates': [-73.8012, 40.71569]}",3,65,24,25,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Prospect Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Yes,40.651267,-73.970257,"{'type': 'Point', 'coordinates': [-73.970257, 40.651267]}",2,43,11,60,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,7:00am-11:00pm,,
"Broadway Library, QPL",Library,QPL,Operational,"""Yes, in women's restroom only""",40.758538,-73.918625,"{'type': 'Point', 'coordinates': [-73.918625, 40.758538]}",3,72,33,39,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed
Monday: 10:00 am - 6:00 pm
Tuesday: 1:00 pm - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 12:00 pm - 8:00 pm
Friday: 10:00 am - 6:00 pm
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/broadway'},"Restrooms for adult are in the basement.
Restrooms for children are located on the 2nd floor in the Children's room and require keys."
Saw Mill Playground,Park,NYC Parks,Operational,Yes,40.808920,-73.919300,"{'type': 'Point', 'coordinates': [-73.9193, 40.80892]}",5,23,35,49,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Nellie Bly Amusement Park,Park,NYC Parks Concessionaire,Operational,Yes,40.590614,-73.994912,"{'type': 'Point', 'coordinates': [-73.994912, 40.590614]}",2,37,44,1,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,Weekdays - 12pm-Dusk Weekends 11am-Dusk,,
Pena Herrera Playground,Park,NYC Parks,Operational,No,40.649390,-74.012100,"{'type': 'Point', 'coordinates': [-74.0121, 40.64939]}",2,45,7,9,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Ten Eyck Playground,Park,NYC Parks,Operational,Yes,40.709030,-73.938900,"{'type': 'Point', 'coordinates': [-73.9389, 40.70903]}",2,56,30,36,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Countee Cullen Library, NYPL",Library,NYPL,Operational,Yes,40.814844,-73.941162,"{'type': 'Point', 'coordinates': [-73.941162, 40.814844]}",4,20,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 11:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/countee-cullen'},Please note that the ADA lift is out of order at Countee Cullen Library. We apologize for any inconvenience.
Van Cortlandt Classic Playground,Park,NYC Parks,Operational,Yes,40.885200,-73.890600,"{'type': 'Point', 'coordinates': [-73.8906, 40.8852]}",5,33,40,27,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Douglaston Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.752189,-73.732671,"{'type': 'Point', 'coordinates': [-73.732671, 40.752189]}",3,69,16,26,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,6:00am-8:00pm Daily,,
Rosewood Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.872980,-73.871100,"{'type': 'Point', 'coordinates': [-73.8711, 40.87298]}",5,30,22,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Mosholu Library, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.874388,-73.878386,"{'type': 'Point', 'coordinates': [-73.878386, 40.874388]}",5,34,40,24,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/mosholu'},
Poppenhusen Playground,Park,NYC Parks,Operational,No,40.781420,-73.844500,"{'type': 'Point', 'coordinates': [-73.8445, 40.78142]}",3,67,20,22,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Barretto Point Park,Park,NYC Parks,Operational,Yes,40.805910,-73.888600,"{'type': 'Point', 'coordinates': [-73.8886, 40.80591]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Brevoort Playground,Park,NYC Parks,Operational,Yes,40.680680,-73.922700,"{'type': 'Point', 'coordinates': [-73.9227, 40.68068]}",2,52,17,69,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Riverdale Library, NYPL",Library,NYPL,Operational,No,40.903731,-73.902774,"{'type': 'Point', 'coordinates': [-73.902774, 40.903731]}",5,33,40,48,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/riverdale'},
Baisley Park South Playground,Park,NYC Parks,Operational,Yes,40.669130,-73.788700,"{'type': 'Point', 'coordinates': [-73.7887, 40.66913]}",3,71,46,41,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Beach 30th Street Playground,Park,NYC Parks,Operational,Yes,40.592440,-73.762700,"{'type': 'Point', 'coordinates': [-73.7627, 40.59244]}",3,59,47,51,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Kennedy King Playground,Park,NYC Parks,Operational,Yes,40.658700,-73.921800,"{'type': 'Point', 'coordinates': [-73.9218, 40.6587]}",2,40,17,61,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Sheltering Arms Playground,Park,NYC Parks,Operational,Yes,40.815340,-73.956000,"{'type': 'Point', 'coordinates': [-73.956, 40.81534]}",4,17,23,37,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Coney Island Beach Zone 2a,Park,NYC Parks,Operational,No,40.574930,-73.959800,"{'type': 'Point', 'coordinates': [-73.9598, 40.57493]}",2,35,45,21,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
North Rochdale Playground,Park,NYC Parks,Operational,Yes,40.680070,-73.775100,"{'type': 'Point', 'coordinates': [-73.7751, 40.68007]}",3,71,46,41,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Al Quiñones Playground,Park,NYC Parks,Operational,Yes,40.815450,-73.901400,"{'type': 'Point', 'coordinates': [-73.9014, 40.81545]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Westchester Square Library, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.840876,-73.846732,"{'type': 'Point', 'coordinates': [-73.846732, 40.840876]}",5,28,12,43,Not Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/westchester-square'},
Claremont Zone 1,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.841510,-73.906800,"{'type': 'Point', 'coordinates': [-73.9068, 40.84151]}",5,27,42,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Mathews-Palmer Playground,Park,NYC Parks,Operational,Yes,40.761220,-73.992900,"{'type': 'Point', 'coordinates': [-73.9929, 40.76122]}",4,10,10,12,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
East River Park Zone 6,Park,NYC Parks,Operational,No,40.723860,-73.972800,"{'type': 'Point', 'coordinates': [-73.9728, 40.72386]}",4,5,50,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Hunts Point Playground,Park,NYC Parks,Operational,Yes,40.814280,-73.885900,"{'type': 'Point', 'coordinates': [-73.8859, 40.81428]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Evergreen Park,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.697050,-73.896400,"{'type': 'Point', 'coordinates': [-73.8964, 40.69705]}",3,62,34,54,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Russell Sage Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.723960,-73.851600,"{'type': 'Point', 'coordinates': [-73.8516, 40.72396]}",3,70,28,40,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Van Voorhees Playground,Park,NYC Parks,Operational,Yes,40.689660,-73.999600,"{'type': 'Point', 'coordinates': [-73.9996, 40.68966]}",2,48,27,14,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Springfield Park,Park,NYC Parks,Operational,No,40.660830,-73.762300,"{'type': 'Point', 'coordinates': [-73.7623, 40.66083]}",3,63,47,63,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Corona Plaza APT,Public Plaza,NYC DOT/JCDeceaux,Operational,No,40.749650,-73.862638,"{'type': 'Point', 'coordinates': [-73.862638, 40.74965]}",3,68,21,66,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,8am-8pm,{'url': 'https://portal.311.nyc.gov/article/?kanumber=KA-02226'},This unit is free to use.
Newtown Playground,Park,NYC Parks,Operational,No,40.736250,-73.869800,"{'type': 'Point', 'coordinates': [-73.8698, 40.73625]}",3,68,5,66,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Starvos Niarchos Foundation Library, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.751900,-73.981700,"{'type': 'Point', 'coordinates': [-73.9817, 40.7519]}",4,8,51,11,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 8:00 am - 9:00 pm 
Tuesday: 8:00 am - 9:00 pm 
Wednesday: 8:00 am - 9:00 pm 
Thursday: 8:00 am - 9:00 pm  
Friday: 8:00 am - 9:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/snfl'},
Tompkins Square Park,Park,NYC Parks,Operational,,40.726830,-73.981400,"{'type': 'Point', 'coordinates': [-73.9814, 40.72683]}",4,5,50,70,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Mosholu Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.887057,-73.884205,"{'type': 'Point', 'coordinates': [-73.884205, 40.887057]}",5,33,40,27,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,7:00am-8:00pm Daily,,
"Highlawn Library, BPL",Library,BPL,Operational,Yes,40.605701,-73.986248,"{'type': 'Point', 'coordinates': [-73.986248, 40.605701]}",2,37,18,1,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/highlawn'},
"North Hills Library, QPL",Library,QPL,Operational,Yes,40.759262,-73.731839,"{'type': 'Point', 'coordinates': [-73.731839, 40.759262]}",3,69,16,26,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/north-hills'},"Yes, a key is needed to enter"
Wallenberg Playground,Park,NYC Parks,Operational,Yes,40.852820,-73.927200,"{'type': 'Point', 'coordinates': [-73.9272, 40.85282]}",4,22,39,47,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Delphin H. Greene Playground,Park,NYC Parks,Operational,No,40.684650,-73.728700,"{'type': 'Point', 'coordinates': [-73.7287, 40.68465]}",3,63,6,63,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
McKinley Park Playground,Park,NYC Parks,Operational,Yes,40.626570,-74.016700,"{'type': 'Point', 'coordinates': [-74.0167, 40.62657]}",2,41,44,10,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Paerdegat Library, BPL",Library,BPL,Operational,Yes,40.632645,-73.919986,"{'type': 'Point', 'coordinates': [-73.919986, 40.632645]}",2,38,8,5,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/paerdegat'},
St. Vartan Park,Park,NYC Parks,Operational,Yes,40.744960,-73.973300,"{'type': 'Point', 'coordinates': [-73.9733, 40.74496]}",4,9,51,71,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Inwood Library, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.866961,-73.924338,"{'type': 'Point', 'coordinates': [-73.924338, 40.866961]}",4,22,39,47,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/inwood'},
Crispus Attucks Playground,Park,NYC Parks,Operational,Yes,40.681620,-73.959200,"{'type': 'Point', 'coordinates': [-73.9592, 40.68162]}",2,55,49,68,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Frederick Douglass Playground,Park,NYC Parks,Operational,Yes,40.797010,-73.967700,"{'type': 'Point', 'coordinates': [-73.9677, 40.79701]}",4,15,23,20,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Eastern Parkway Library, BPL",Library,BPL,Operational,Yes,40.668495,-73.933652,"{'type': 'Point', 'coordinates': [-73.933652, 40.668495]}",2,44,48,17,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/eastern-parkway'},
Colonel David Marcus Playground,Park,NYC Parks,Operational,Yes,40.610040,-73.969600,"{'type': 'Point', 'coordinates': [-73.9696, 40.61004]}",2,39,18,2,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
